央视,#genre#
CBN每日影院,http://116.199.5.51:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=71&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
CBN每日影院,http://kid.hfcatv.com.cn:13164/playurl?playtype=live&protocol=hls&accesstoken=R5F15C63AU30947030K77359BACI93B1EF78P8M2FAF228V0Z53085W162382CFCB4DC7EC&playtoken=31667LZMVCGFXDL10&verifycode=2000000576&rate=org&programid=4200000214.m3u8&ts=50&auth=no
CBN幸福剧场,http://tyzb2021.chxjon.cn/iptv/qq2383132354/gzyx.php?id=cbnxfjc
CBN幸福娱乐,http://tyzb2021.chxjon.cn/iptv/qq2383132354/gzyx.php?id=cbnxfyl
CBN风尚生活,http://tyzb2021.chxjon.cn/iptv/qq2383132354/gzyx.php?id=cbnfssh
黑莓电影,http://39.135.53.195/ott.fj.chinamobile.com/PLTV/88888888/224/3221225891/1.m3u8
黑莓电影,http://39.134.66.66/PLTV/88888888/224/3221225681/index.m3u8
教育一套,http://39.135.53.199/ott.fj.chinamobile.com/PLTV/88888888/224/3221226954/index.m3u8
教育一套,http://ivi.bupt.edu.cn/hls/cetv1hd.m3u8
教育一套,http://111.20.105.60:6060/yinhe/2/ch00000090990000001063/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
教育一套,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225753/1.m3u8
教育二套,http://111.20.105.60:6060/yinhe/2/ch00000090990000001064/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
教育二套,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225756/1.m3u8
教育三套,http://111.20.105.60:6060/yinhe/2/ch00000090990000001309/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
教育三套,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226226/1.m3u8
空中课堂,http://111.20.105.60:6060/yinhe/2/ch00000090990000001308/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
空中课堂,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226225/1.m3u8
CETV早期教育,http://hdtv.haust.edu.cn/hls/hls25.m3u8
CETV早期教育,http://39.135.138.6:6610/PLTV/88888888/224/3221225513/2/index.m3u8
CETV早期教育,http://tyzb2021.chxjon.cn/iptv/qq2383132354/gzyx.php?id=zqjy
CETV早期教育,http://39.130.202.81:6610/gitv_live/G_CETV-ZQJY/ 
CNC中文,http://source07.v.news.cn/live/CNC_CN/playlist.m3u8
CNC中文,http://livecdn1.news.cn/cnccn/manifest.m3u8
CNC中文,http://117.169.79.106:8080/PLTV/88888888/224/3221225735/index.m3u8jiema0
书画,http://36.112.79.186:8235/hls/hd-live.m3u8
书画,http://tyzb2021.chxjon.cn/iptv/qq2383132354/gzyx.php?id=shpd
摄影频道,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R5F2408FEU3198804BK78052214IE73560DFP2BF4M340CE68V0Z339CBW1626D4D261E46FEA&playtoken=ABCDEFGH&programid=4200000222
摄影频道,http://tyzb2021.chxjon.cn/iptv/qq2383132354/gzyx.php?id=sypd
国学频道,http://hdtv.haust.edu.cn/hls/hls100.m3u8
国学频道,http://tyzb2021.chxjon.cn/iptv/qq2383132354/gzyx.php?id=gxpd
国学频道,http://223.110.241.137:6610/gitv/live1/G_GUOXUE/G_GUOXUE/.m3u8
中华特产,http://play.zhtctv.cn/portal/btv.m3u8
中华特产,http://httpdvb.slave.nx96200.cn:13164/playurl?playtype=live&protocol=http&accesstoken=R5EDED88FU30990082K776ABB09I32F98767PBM323A1A7V0Z9C465W1616B8D311E6D9E9&programid=4200900069&playtoken=ABCDEFGHI
中华美食,http://183.207.248.71/gitv/live1/G_ZHONGHUAMS/G_ZHONGHUAMS
中华美食,http://39.135.138.6:6610/PLTV/88888888/224/3221225924/2/index.m3u8
中华美食,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225924/index.m3u8
中华美食,http://tyzb2021.chxjon.cn/iptv/qq2383132354/gzyx.php?id=zhmshd
中国交通,https://tv.lanjingfm.com/cctbn/gansu.m3u8
中国交通,http://tv.lanjingfm.com/cctbn/hainan.m3u8
生态环境,http://111.20.105.60:6060/yinhe/2/ch00000090990000001320/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
环球旅游,http://125.210.152.18:9090/live/HQLY.m3u8
环球旅游,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R5F2408FEU3198804BK78052214IE73560DFP2BF4M340CE68V0Z339CBW1626D4D261E46FEA&playtoken=ABCDEFGH&programid=4200000147
环球奇观,http://hdtv.haust.edu.cn/hls/hls62.m3u8
环球奇观,http://tyzb2021.chxjon.cn/iptv/qq2383132354/gzyx.php?id=wwbk
环球奇观,http://125.210.152.18:9090/live/HQQG.m3u8
求索纪录,http://39.134.66.66/PLTV/88888888/224/3221225713/index.m3u8
求索纪录,http://125.210.152.21:9120/live/QSJLHD.m3u8
求索科学,http://39.134.66.66/PLTV/88888888/224/3221225728/index.m3u8
求索科学,http://125.210.152.21:9120/live/QSKX.m3u8
求索动物,http://39.134.66.66/PLTV/88888888/224/3221225730/index.m3u8
求索动物,http://125.210.152.21:9120/live/QSDW.m3u8
求索生活,http://39.134.66.66/PLTV/88888888/224/3221225715/index.m3u8
求索生活,http://125.210.152.21:9120/live/QSSH.m3u8
陕西,#genre#
爱上4K,http://111.20.105.60:6060/yinhe/2/ch00000090990000001709/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
爱上4K,http://39.135.89.100:6610/yinhe/2/ch00000090990000001709/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
陕视直播,http://111.20.105.60:6060/yinhe/2/ch00000090990000001872/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
陕视直播,http://111.20.105.60:6060/yinhe/2/ch00000090990000001872/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
农林卫视,http://111.20.105.60:6060/yinhe/2/ch00000090990000001312/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
农林卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226229/1.m3u8
陕西卫视,http://120.221.165.62/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225498/index.m3u8
陕西卫视,http://111.20.105.60:6060/yinhe/2/ch00000090990000001539/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
陕西卫视,http://111.20.105.60:6060/yinhe/2/ch00000090990000001569/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
陕西新闻资讯,http://111.20.105.60:6060/yinhe/2/ch00000090990000001719/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
陕西新闻资讯,http://111.20.105.60:6060/yinhe/2/ch00000090990000001580/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
陕西新闻资讯,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226357/1.m3u8
陕西都市青春,http://111.20.105.60:6060/yinhe/2/ch00000090990000001593/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
陕西都市青春,http://39.135.89.100:6610/yinhe/2/ch00000090990000001593/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
陕西都市青春,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226358/1.m3u8
陕西生活,http://111.20.105.60:6060/yinhe/2/ch00000090990000001729/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
陕西生活,http://39.135.89.100:6610/yinhe/2/ch00000090990000001729/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
陕西生活,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226359/1.m3u8
陕西影视,http://111.20.105.60:6060/yinhe/2/ch00000090990000001730/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
陕西影视,http://39.135.89.100:6610/yinhe/2/ch00000090990000001730/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
陕西影视,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226360/1.m3u8
陕西公共,http://111.20.105.60:6060/yinhe/2/ch00000090990000001739/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
陕西公共,http://39.135.89.100:6610/yinhe/2/ch00000090990000001739/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
陕西公共,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226361/1.m3u8
陕西乐家购物,http://111.20.105.60:6060/yinhe/2/ch00000090990000001731/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
陕西乐家购物,http://39.135.89.100:6610/yinhe/2/ch00000090990000001731/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
陕西乐家购物,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226362/1.m3u8
陕西体育休闲,http://111.20.105.60:6060/yinhe/2/ch00000090990000001594/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
陕西体育休闲,http://39.135.89.100:6610/yinhe/2/ch00000090990000001594/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
陕西体育休闲,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226363/1.m3u8
陕西西部电影,http://111.20.105.60:6060/yinhe/2/ch00000090990000001749/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
陕西西部电影,http://39.135.89.100:6610/yinhe/2/ch00000090990000001749/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
陕西西部电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226364/index.m3u8
安康综合,http://pili-live-hls.hsyapp.sobeylingyun.com/xjhsyapp2019/sxakzhpd.m3u8
安康综合,https://hls-sxak.sobeylive.com/xjhsyapp2019/sxakzhpd.m3u8
安康综合,http://111.20.105.60:6060/yinhe/2/ch00000090990000001721/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
安康综合,http://39.135.89.100:6610/yinhe/2/ch00000090990000001721/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
安康综合,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226385/1.m3u8
安康公共,http://pili-live-hls.hsyapp.sobeylingyun.com/xjhsyapp2019/sxakggpd.m3u8
安康公共,https://hls-sxak.sobeylive.com/xjhsyapp2019/sxakggpd.m3u8
安康教育,http://pili-live-hls.hsyapp.sobeylingyun.com/xjhsyapp2019/sxakjypd.m3u8
安康教育,https://hls-sxak.sobeylive.com/xjhsyapp2019/sxakjypd.m3u8
岚皋,http://120.221.165.62/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225850/index.m3u8
岚皋,http://120.221.165.62/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225861/index.m3u8
紫阳,http://120.221.165.62/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225845/index.m3u8
紫阳,http://120.221.165.62/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225928/index.m3u8
平利,http://120.221.165.62/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225924/index.m3u8
平利,http://120.221.165.62/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225846/index.m3u8
汉阴,http://120.221.165.62/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225849/index.m3u8
汉阴,http://120.221.165.62/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225922/index.m3u8
石泉,http://120.221.165.62/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226005/index.m3u8
石泉,http://120.221.165.62/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225879/index.m3u8
宁陕,http://120.221.165.62/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225848/index.m3u8
宁陕,http://120.221.165.62/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225923/index.m3u8
白河,http://120.221.165.62/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225847/index.m3u8
白河,http://120.221.165.62/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225921/index.m3u8
镇平,http://120.221.165.62/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225842/index.m3u8
镇平,http://120.221.165.62/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225926/index.m3u8
旬阳新闻综合,http://120.221.165.62/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225844/index.m3u8
旬阳新闻综合,http://120.221.165.62/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225878/index.m3u8
旬阳民生文化,http://120.221.165.62/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225925/index.m3u8
西安新闻综合,http://stream2.xiancity.cn/xatv1/sd/live.m3u8
西安新闻综合,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226366/1.m3u8
西安新闻综合,http://111.20.105.60:6060/yinhe/2/ch00000090990000001720/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
西安新闻综合,http://39.135.89.100:6610/yinhe/2/ch00000090990000001720/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
西安都市,http://stream2.xiancity.cn/xatv2/sd/live.m3u8
